ja-JP	latitude	longitude	overall_length	first_julian_day	last_julian_day	texture	texture
（光善寺）	34.8025865	135.6355882	186	99999999	99999999	IeSekkan	IeSekkan
（平楽寺）	34.65962644	136.4445898	186	99999999	99999999	IeSekkan	IeSekkan
大日古墳	34.07069405	131.5521548	185	99999999	99999999	IeSekkanBrown	IeSekkan
（福林寺）	34.87444026	134.7406673	185	99999999	99999999	IeSekkanBrown	IeSekkan
上野山10号墳	34.6616791	136.4285405	185	1937649	1958833	IeSekkan	IeSekkan
（八久保）	32.89598297	130.6917796	184	99999999	99999999	IeSekkanRed	IeSekkan
(押熊)	34.71854445	135.7683376	184	99999999	99999999	IeSekkanYellowGreen	IeSekkan
（竜宮）	33.00137875	130.6621485	183	1874462	1881767	FunaSekkanRed	FunaSekkan
高城山三号墳	32.78186796	130.6172817	183	1859852	1874462	FunaSekkanRed	FunaSekkan
向原	32.96213536	130.684638	183	99999999	99999999	IeSekkanRed	IeSekkan
平林古墳	34.498489	135.697461	183	1925596	1947510	IeSekkanYellowGreen	IeSekkan
（正眼寺）	35.15332725	136.233696	183	1925596	1947510	IeSekkanBrown	IeSekkan
矢田Ⅱ群1号横穴墓	35.38683458	133.212311	182	1925596	1947510	IeSekkanRedPurple	IeSekkan
松尾宮山1号墳	35.47406264	136.2069793	182	1951893	1966138	IeSekkanBrown	IeSekkan
持松	32.96213536	130.684638	181	99999999	99999999	IeSekkanRed	IeSekkan
（龍野小学校）	34.86669199	134.5454241	181	99999999	99999999	IeSekkanBrown	IeSekkan
（正連寺）	34.79157617	134.7969884	181	99999999	99999999	IeSekkanBrown	IeSekkan
（大野貝塚付近）	32.56561511	130.7040716	180	1874462	1881767	FunaSekkan	FunaSekkan
下長田大谷1号墳	33.14546965	130.4629242	180	99999999	99999999	IeSekkanRed	IeSekkan
松石横穴墓	35.41682326	132.9604514	180	1925596	1947510	IeSekkan	IeSekkan
御崎山古墳	35.424518	133.093386	180	1925596	1947510	IeSekkan	IeSekkan
狐谷3号横穴墓	35.43758883	133.0916347	180	1925596	1947510	IeSekkan	IeSekkan
高安　神立7号墳	34.63490391	135.6491979	180	1937649	1951893	IeSekkanYellowGreen	IeSekkan
